log_id,object_types_mode,xes_runtime_sec,ocel_runtime_sec
log_0001,1,0.2319,0.0678
log_0002,1,0.0113,0.0361
log_0003,1,0.006,0.0195
log_0004,1,0.0049,0.0148
log_0005,1,0.0086,0.0279
log_0006,1,0.0043,0.0137
log_0007,1,0.0048,0.0146
log_0008,1,0.0071,0.0204
log_0009,1,0.0036,0.0096
log_0010,1,0.0062,0.0202
log_0011,1,0.0048,0.0094
log_0012,1,0.0076,0.0193
log_0013,1,0.0059,0.0208
log_0014,1,0.0126,0.0415
log_0015,1,0.0102,0.0355
log_0016,1,0.0113,0.0373
log_0017,1,0.0063,0.0189
log_0018,1,0.0036,0.0373
log_0019,1,0.0046,0.0132
log_0020,1,0.014,0.0374
log_0021,2,0.0076,0.0243
log_0022,2,0.0066,0.0187
log_0023,2,0.0048,0.013
log_0024,2,0.008,0.0236
log_0025,2,0.0076,0.0237
log_0026,2,0.005,0.0164
log_0027,2,0.0056,0.0149
log_0028,2,0.0047,0.0147
log_0029,2,0.0082,0.0262
log_0030,2,0.0075,0.0243
log_0031,2,0.0075,0.0246
log_0032,2,0.0036,0.0107
log_0033,2,0.0055,0.0157
log_0034,2,0.0119,0.0361
log_0035,2,0.0036,0.0109
log_0036,2,0.0336,0.0474
log_0037,2,0.0055,0.0165
log_0038,2,0.0078,0.0242
log_0039,2,0.0066,0.0118
log_0040,2,0.0151,0.0431
log_0041,3,0.0042,0.0108
log_0042,3,0.0073,0.0216
log_0043,3,0.0033,0.0081
log_0044,3,0.0047,0.0162
log_0045,3,0.0099,0.0341
log_0046,3,0.0068,0.0261
log_0047,3,0.0042,0.014
log_0048,3,0.0035,0.0113
log_0049,3,0.0047,0.015
log_0050,3,0.0069,0.0238
log_0051,3,0.0065,0.0224
log_0052,3,0.0089,0.03
log_0053,3,0.007,0.0179
log_0054,3,0.0073,0.0219
log_0055,3,0.0076,0.0504
log_0056,3,0.0112,0.0286
log_0057,3,0.0055,0.0186
log_0058,3,0.0103,0.0359
log_0059,3,0.0115,0.0437
log_0060,3,0.0068,0.0216
log_0061,4,0.0074,0.0243
log_0062,4,0.0073,0.0259
log_0063,4,0.005,0.0188
log_0064,4,0.0064,0.0205
log_0065,4,0.0069,0.0229
log_0066,4,0.021,0.0757
log_0067,4,0.0058,0.0216
log_0068,4,0.0055,0.0442
log_0069,4,0.0057,0.0201
log_0070,4,0.009,0.034
log_0071,4,0.0109,0.0263
log_0072,4,0.0042,0.0145
log_0073,4,0.0071,0.0279
log_0074,4,0.0044,0.0165
log_0075,4,0.0067,0.0235
log_0076,4,0.011,0.0407
log_0077,4,0.009,0.0335
log_0078,4,0.0065,0.0211
log_0079,4,0.0086,0.0308
log_0080,4,0.0073,0.0233
log_0081,5,0.0055,0.0199
log_0082,5,0.0053,0.0188
log_0083,5,0.0096,0.0643
log_0084,5,0.0052,0.0184
log_0085,5,0.007,0.0282
log_0086,5,0.0075,0.0295
log_0087,5,0.0066,0.0241
log_0088,5,0.0058,0.023
log_0089,5,0.0038,0.0145
log_0090,5,0.0039,0.0446
log_0091,5,0.0067,0.0187
log_0092,5,0.007,0.0236
log_0093,5,0.0048,0.0189
log_0094,5,0.0047,0.0178
log_0095,5,0.0057,0.0209
log_0096,5,0.0036,0.0117
log_0097,5,0.0052,0.0185
log_0098,5,0.0104,0.0393
log_0099,5,0.0112,0.0418
log_0100,5,0.0047,0.0454
log_0101,6,0.0068,0.0254
log_0102,6,0.0045,0.0182
log_0103,6,0.0094,0.0371
log_0104,6,0.0101,0.0403
log_0105,6,0.0118,0.0481
log_0106,6,0.0052,0.02
log_0107,6,0.0084,0.0327
log_0108,6,0.0058,0.023
log_0109,6,0.0065,0.0266
log_0110,6,0.0033,0.0158
log_0111,6,0.0029,0.0112
log_0112,6,0.0087,0.014
log_0113,6,0.0086,0.0299
log_0114,6,0.0081,0.0299
log_0115,6,0.0064,0.0262
log_0116,6,0.0045,0.0407
log_0117,6,0.0073,0.0288
log_0118,6,0.0052,0.0192
log_0119,6,0.0033,0.013
log_0120,6,0.0057,0.0235
log_0121,7,0.0059,0.0225
log_0122,7,0.0076,0.0292
log_0123,7,0.0081,0.033
log_0124,7,0.0081,0.0322
log_0125,7,0.0031,0.014
log_0126,7,0.0058,0.0187
log_0127,7,0.0081,0.0302
log_0128,7,0.0106,0.0365
log_0129,7,0.0048,0.0155
log_0130,7,0.0073,0.0307
log_0131,7,0.0053,0.0224
log_0132,7,0.008,0.0554
log_0133,7,0.0056,0.0232
log_0134,7,0.0041,0.0172
log_0135,7,0.0057,0.0225
log_0136,7,0.0053,0.0219
log_0137,7,0.0045,0.0195
log_0138,7,0.0052,0.021
log_0139,7,0.0085,0.0356
log_0140,7,0.0061,0.0207
log_0141,8,0.0077,0.0294
log_0142,8,0.005,0.0203
log_0143,8,0.0076,0.0601
log_0144,8,0.0104,0.0694
log_0145,8,0.0058,0.0225
log_0146,8,0.0062,0.0234
log_0147,8,0.0145,0.0579
log_0148,8,0.0062,0.0258
log_0149,8,0.0081,0.0369
log_0150,8,0.0095,0.0401
log_0151,8,0.0053,0.0221
log_0152,8,0.0044,0.019
log_0153,8,0.0025,0.0099
log_0154,8,0.0031,0.0116
log_0155,8,0.0086,0.0371
log_0156,8,0.0049,0.019
log_0157,8,0.009,0.0359
log_0158,8,0.0054,0.0239
log_0159,8,0.0029,0.0094
log_0160,8,0.0077,0.0586
