log_id,types_per_event_mode,xes_runtime_sec,ocel_runtime_sec
log_0001,1,0.0283,0.0264
log_0002,1,0.007,0.021
log_0003,1,0.0102,0.0315
log_0004,1,0.0095,0.0301
log_0005,1,0.0066,0.0187
log_0006,1,0.0071,0.0234
log_0007,1,0.004,0.0123
log_0008,1,0.009,0.0295
log_0009,1,0.0088,0.0308
log_0010,1,0.0051,0.0163
log_0011,1,0.0035,0.0091
log_0012,1,0.0051,0.0128
log_0013,1,0.0072,0.0663
log_0014,1,0.0039,0.0128
log_0015,1,0.0108,0.0328
log_0016,1,0.0047,0.0163
log_0017,1,0.0087,0.0284
log_0018,1,0.0101,0.0337
log_0019,1,0.0047,0.0146
log_0020,1,0.0115,0.0389
log_0021,2,0.0036,0.0129
log_0022,2,0.0088,0.0309
log_0023,2,0.0084,0.0302
log_0024,2,0.009,0.0311
log_0025,2,0.0082,0.0265
log_0026,2,0.0096,0.0346
log_0027,2,0.0074,0.0233
log_0028,2,0.0065,0.0236
log_0029,2,0.0082,0.0283
log_0030,2,0.0067,0.0241
log_0031,2,0.0118,0.0339
log_0032,2,0.0066,0.0606
log_0033,2,0.0089,0.0306
log_0034,2,0.0054,0.0186
log_0035,2,0.0059,0.0202
log_0036,2,0.0111,0.0304
log_0037,2,0.0081,0.0299
log_0038,2,0.007,0.0684
log_0039,2,0.0164,0.0588
log_0040,2,0.0064,0.0233
log_0041,3,0.008,0.0297
log_0042,3,0.0157,0.061
log_0043,3,0.0043,0.0167
log_0044,3,0.0038,0.0134
log_0045,3,0.0039,0.0145
log_0046,3,0.0075,0.0265
log_0047,3,0.0067,0.0254
log_0048,3,0.0078,0.0281
log_0049,3,0.0031,0.0102
log_0050,3,0.0063,0.0219
log_0051,3,0.0037,0.0138
log_0052,3,0.0071,0.015
log_0053,3,0.0031,0.0114
log_0054,3,0.0435,0.0176
log_0055,3,0.0025,0.0078
log_0056,3,0.0081,0.0291
log_0057,3,0.0049,0.0198
log_0058,3,0.0096,0.0296
log_0059,3,0.0071,0.0274
log_0060,3,0.0056,0.0201
log_0061,4,0.0119,0.0482
log_0062,4,0.0085,0.0341
log_0063,4,0.0103,0.0398
log_0064,4,0.0056,0.0196
log_0065,4,0.0069,0.0248
log_0066,4,0.0085,0.032
log_0067,4,0.006,0.0213
log_0068,4,0.0094,0.0292
log_0069,4,0.0094,0.0372
log_0070,4,0.0121,0.0909
log_0071,4,0.0036,0.0119
log_0072,4,0.0084,0.0368
log_0073,4,0.0044,0.016
log_0074,4,0.0133,0.052
log_0075,4,0.0054,0.0198
log_0076,4,0.0058,0.0223
log_0077,4,0.0038,0.013
log_0078,4,0.0069,0.0278
log_0079,4,0.0056,0.0225
log_0080,4,0.0118,0.0447
log_0081,5,0.0084,0.0335
log_0082,5,0.0034,0.0138
log_0083,5,0.004,0.0164
log_0084,5,0.0042,0.0155
log_0085,5,0.0091,0.0395
log_0086,5,0.0098,0.0423
log_0087,5,0.0036,0.0144
log_0088,5,0.0059,0.0259
log_0089,5,0.0094,0.0384
log_0090,5,0.0069,0.0295
log_0091,5,0.0067,0.0683
log_0092,5,0.0047,0.0192
log_0093,5,0.0032,0.0124
log_0094,5,0.0031,0.0528
log_0095,5,0.0064,0.0266
log_0096,5,0.0071,0.029
log_0097,5,0.0102,0.0418
log_0098,5,0.0024,0.0083
log_0099,5,0.0077,0.0298
log_0100,5,0.0048,0.0183
log_0101,6,0.0058,0.024
log_0102,6,0.01,0.0378
log_0103,6,0.0097,0.0432
log_0104,6,0.0044,0.0192
log_0105,6,0.0118,0.0501
log_0106,6,0.0041,0.0169
log_0107,6,0.0054,0.0199
log_0108,6,0.003,0.0114
log_0109,6,0.0238,0.0219
log_0110,6,0.0056,0.023
log_0111,6,0.0024,0.0088
log_0112,6,0.0065,0.0274
log_0113,6,0.0045,0.0197
log_0114,6,0.0083,0.0801
log_0115,6,0.0066,0.0274
log_0116,6,0.0115,0.048
log_0117,6,0.0047,0.0191
log_0118,6,0.0083,0.0343
log_0119,6,0.009,0.0371
log_0120,6,0.0056,0.022
