log_id,num_traces,xes_runtime_sec,ocel_runtime_sec
log_0001,10,0.0201,0.0066
log_0002,10,0.0018,0.0054
log_0003,10,0.0016,0.0017
log_0004,10,0.0017,0.0043
log_0005,10,0.0039,0.0077
log_0006,10,0.0015,0.0025
log_0007,10,0.0017,0.0047
log_0008,10,0.0014,0.0024
log_0009,10,0.0014,0.0021
log_0010,10,0.0017,0.0039
log_0011,10,0.0016,0.0029
log_0012,10,0.0015,0.0029
log_0013,10,0.0031,0.0097
log_0014,10,0.0015,0.0026
log_0015,10,0.0012,0.002
log_0016,10,0.0014,0.0029
log_0017,10,0.0016,0.0024
log_0018,10,0.0019,0.0036
log_0019,10,0.0015,0.0023
log_0020,10,0.0025,0.0038
log_0021,25,0.0018,0.0038
log_0022,25,0.0022,0.0063
log_0023,25,0.0022,0.0053
log_0024,25,0.0021,0.0061
log_0025,25,0.0039,0.0074
log_0026,25,0.0018,0.0046
log_0027,25,0.0019,0.0044
log_0028,25,0.002,0.0053
log_0029,25,0.0029,0.0076
log_0030,25,0.002,0.0038
log_0031,25,0.0044,0.0116
log_0032,25,0.0034,0.007
log_0033,25,0.002,0.0047
log_0034,25,0.0023,0.0057
log_0035,25,0.002,0.005
log_0036,25,0.0044,0.0103
log_0037,25,0.0032,0.0061
log_0038,25,0.0023,0.0059
log_0039,25,0.0031,0.0079
log_0040,25,0.0027,0.0077
log_0041,50,0.0023,0.0067
log_0042,50,0.0028,0.0078
log_0043,50,0.0033,0.0104
log_0044,50,0.0024,0.0068
log_0045,50,0.0027,0.0068
log_0046,50,0.0024,0.0069
log_0047,50,0.0051,0.0152
log_0048,50,0.0041,0.0122
log_0049,50,0.0025,0.0065
log_0050,50,0.0043,0.0111
log_0051,50,0.0067,0.021
log_0052,50,0.0037,0.0085
log_0053,50,0.0041,0.0141
log_0054,50,0.0034,0.0101
log_0055,50,0.0056,0.0193
log_0056,50,0.0066,0.0233
log_0057,50,0.0033,0.0106
log_0058,50,0.0021,0.005
log_0059,50,0.0027,0.0081
log_0060,50,0.0029,0.0086
log_0061,75,0.0043,0.0247
log_0062,75,0.0042,0.0129
log_0063,75,0.0059,0.0208
log_0064,75,0.0051,0.0503
log_0065,75,0.0035,0.0093
log_0066,75,0.0039,0.0132
log_0067,75,0.0072,0.0217
log_0068,75,0.0044,0.0547
log_0069,75,0.0041,0.011
log_0070,75,0.0068,0.0217
log_0071,75,0.0125,0.0418
log_0072,75,0.0059,0.0224
log_0073,75,0.0035,0.0118
log_0074,75,0.0041,0.0136
log_0075,75,0.0039,0.0137
log_0076,75,0.003,0.0101
log_0077,75,0.0053,0.0168
log_0078,75,0.0041,0.0145
log_0079,75,0.0067,0.021
log_0080,75,0.0044,0.0138
log_0081,100,0.0094,0.0301
log_0082,100,0.0042,0.012
log_0083,100,0.0059,0.0205
log_0084,100,0.0123,0.0416
log_0085,100,0.0075,0.0215
log_0086,100,0.0059,0.0193
log_0087,100,0.0048,0.0155
log_0088,100,0.0027,0.009
log_0089,100,0.0043,0.013
log_0090,100,0.0085,0.0273
log_0091,100,0.0035,0.0116
log_0092,100,0.0149,0.0531
log_0093,100,0.004,0.0137
log_0094,100,0.004,0.0142
log_0095,100,0.009,0.0318
log_0096,100,0.0085,0.0273
log_0097,100,0.0069,0.0579
log_0098,100,0.0095,0.0291
log_0099,100,0.0072,0.0209
log_0100,100,0.0097,0.0322
log_0101,150,0.0134,0.0473
log_0102,150,0.0164,0.0582
log_0103,150,0.0147,0.0519
log_0104,150,0.0045,0.0168
log_0105,150,0.0071,0.0224
log_0106,150,0.0044,0.014
log_0107,150,0.0066,0.0246
log_0108,150,0.0056,0.0187
log_0109,150,0.0096,0.0334
log_0110,150,0.0136,0.0474
log_0111,150,0.0052,0.0168
log_0112,150,0.0079,0.0244
log_0113,150,0.006,0.0177
log_0114,150,0.005,0.0177
log_0115,150,0.0091,0.0305
log_0116,150,0.0086,0.0283
log_0117,150,0.0492,0.044
log_0118,150,0.0407,0.037
log_0119,150,0.0076,0.0264
log_0120,150,0.0133,0.0404
log_0121,200,0.0125,0.0404
log_0122,200,0.0106,0.0378
log_0123,200,0.0077,0.0273
log_0124,200,0.0092,0.0299
log_0125,200,0.0087,0.0292
log_0126,200,0.0115,0.0374
log_0127,200,0.0073,0.0253
log_0128,200,0.0562,0.0657
log_0129,200,0.0059,0.021
log_0130,200,0.0047,0.0176
log_0131,200,0.0047,0.0153
log_0132,200,0.0091,0.0326
log_0133,200,0.0193,0.0632
log_0134,200,0.0162,0.0543
log_0135,200,0.0161,0.0478
log_0136,200,0.0044,0.0158
log_0137,200,0.0167,0.1014
log_0138,200,0.011,0.0373
log_0139,200,0.0083,0.03
log_0140,200,0.0071,0.0227
log_0141,300,0.0272,0.0968
log_0142,300,0.0231,0.0585
log_0143,300,0.0171,0.0567
log_0144,300,0.0153,0.0935
log_0145,300,0.0296,0.0993
log_0146,300,0.0164,0.054
log_0147,300,0.0147,0.0697
log_0148,300,0.0373,0.109
log_0149,300,0.0198,0.1145
log_0150,300,0.0132,0.0513
log_0151,300,0.021,0.0772
log_0152,300,0.0163,0.0558
log_0153,300,0.0101,0.0597
log_0154,300,0.0334,0.1113
log_0155,300,0.0332,0.1485
log_0156,300,0.0179,0.0612
log_0157,300,0.014,0.0502
log_0158,300,0.0081,0.0277
log_0159,300,0.0123,0.0446
log_0160,300,0.0108,0.0372
log_0161,400,0.0233,0.1223
log_0162,400,0.0334,0.117
log_0163,400,0.0274,0.0977
log_0164,400,0.0292,0.1383
log_0165,400,0.0218,0.0723
log_0166,400,0.0174,0.0659
log_0167,400,0.0238,0.0812
log_0168,400,0.0188,0.1058
log_0169,400,0.0127,0.0494
log_0170,400,0.0316,0.1126
log_0171,400,0.0208,0.0754
log_0172,400,0.0129,0.0491
log_0173,400,0.0206,0.1068
log_0174,400,0.0181,0.0681
log_0175,400,0.0486,0.1558
log_0176,400,0.0602,0.1536
log_0177,400,0.0287,0.103
log_0178,400,0.0358,0.1523
log_0179,400,0.0336,0.1256
log_0180,400,0.0219,0.0813
log_0181,500,0.0117,0.0463
log_0182,500,0.0273,0.133
log_0183,500,0.0288,0.104
log_0184,500,0.0267,0.0992
log_0185,500,0.0577,0.0736
log_0186,500,0.0151,0.0574
log_0187,500,0.0278,0.1059
log_0188,500,0.0295,0.1395
log_0189,500,0.0425,0.1505
log_0190,500,0.0276,0.125
log_0191,500,0.0264,0.0932
log_0192,500,0.0207,0.0773
log_0193,500,0.0281,0.1359
log_0194,500,0.034,0.126
log_0195,500,0.0188,0.0669
log_0196,500,0.0153,0.0992
log_0197,500,0.0181,0.0612
log_0198,500,0.0224,0.0801
log_0199,500,0.0241,0.0928
log_0200,500,0.0323,0.154
